Date,Director,Officer,Significant owner
2016 - Jan,44.94991652754591,33.77851975514747,21.27156371730662
2016 - Jan,44.8768864177919,34.074662430500396,21.048451151707702
2016 - Jan,40.78947368421053,37.631578947368425,21.578947368421055
2016 - Jan,42.094303138479845,33.3035847092072,24.602112152312955
2016 - Jan,39.349701393497014,31.220968812209687,29.429329794293295
2016 - Jan,39.17940466613033,30.20917135961384,30.611423974255832
2016 - Jan,37.20580871306961,32.799198798197295,29.994992488733104
2016 - Jan,39.17208347588094,30.995552514539852,29.832364009579198
2016 - Jan,30.303030303030305,33.33333333333333,36.36363636363637
2016 - Jan,44.505494505494504,29.67032967032967,25.82417582417583
2016 - Jan,38.801966919982114,31.42601698703621,29.772016092981673
2016 - Jan,37.05035971223021,32.631038026721484,30.318602261048305
2016 - Jan,39.21988855550793,30.904414916416627,29.87569652807544
2016 - Jan,37.485757690846945,32.510444360045575,30.00379794910748
2016 - Jan,37.25145169804681,38.69435157487243,24.054196727080768
2016 - Jan,32.83582089552239,42.78606965174129,24.378109452736318
2016 - Jan,41.6289592760181,47.05882352941176,11.312217194570136
2016 - Jan,35.31353135313531,42.02420242024203,22.662266226622663
2016 - Jan,32.99822590183324,50.236546422235364,16.765227675931403
2016 - Jan,27.551775147928993,44.93343195266272,27.514792899408285
2016 - Jan,33.53174603174603,49.32539682539683,17.142857142857142
2016 - Jan,33.43383584589615,53.13232830820771,13.433835845896148
2016 - Jan,35.294117647058826,60.962566844919785,3.7433155080213902
2016 - Jan,27.564102564102566,64.74358974358975,7.6923076923076925
2016 - Jan,31.886792452830186,56.64150943396227,11.471698113207546
2016 - Jan,31.44395998974096,57.83534239548602,10.720697614773018
2016 - Jan,31.268264172998244,57.68556399766218,11.046171829339567
2016 - Jan,31.342907533383723,58.377425044091716,10.279667422524566
2016 - Jan,31.28205128205128,54.49131513647642,14.226633581472292
2016 - Jan,29.274611398963728,53.49740932642487,17.2279792746114
2016 - Jan,30.793157076205286,48.67807153965785,20.52877138413686
2016 - Feb,29.31806213796735,53.804634017904164,16.877303844128487
2016 - Feb,29.16429789653212,54.97441728254691,15.861284820920979
2016 - Feb,29.9880810488677,52.657926102502984,17.35399284862932
2016 - Feb,27.1513353115727,55.811078140454995,17.037586547972307
2016 - Feb,30.016428068528516,53.71978408824219,16.263787843229288
2016 - Feb,30.745341614906835,54.347826086956516,14.906832298136646
2016 - Feb,32.04633204633205,55.79150579150579,12.162162162162163
2016 - Feb,29.024767801857585,58.87512899896801,12.100103199174407
2016 - Feb,28.285465622280242,60.19727299100667,11.517261386713082
2016 - Feb,30.37177063642092,57.088846880907376,12.539382482671707
2016 - Feb,31.793478260869566,45.90126811594203,22.305253623188406
2016 - Feb,32.46275875411105,46.46933642870962,21.06790481717934
2016 - Feb,31.987577639751553,51.5527950310559,16.459627329192546
2016 - Feb,37.159533073929964,45.525291828793776,17.315175097276263
2016 - Feb,32.20937700706487,50.86705202312138,16.923570969813746
2016 - Feb,32.99908842297174,49.05803707079915,17.94287450622911
2016 - Feb,31.417136619974535,50.26378024376933,18.31908313625614
2016 - Feb,32.73594212430122,51.792173627096346,15.471884248602432
2016 - Feb,31.419095828242277,51.87641822307558,16.704485948682144
2016 - Feb,31.34765625,55.37109375,13.28125
2016 - Feb,30.472103004291846,55.5793991416309,13.948497854077251
2016 - Feb,32.86039586617621,46.90839026099142,20.23121387283237
2016 - Feb,34.50867052023121,43.91136801541426,21.57996146435453
2016 - Feb,35.459004905395936,42.168885774351786,22.372109320252278
2016 - Feb,37.12059064807219,40.77112387202625,22.10828547990156
2016 - Feb,33.092369477911646,40.68273092369478,26.224899598393574
2016 - Feb,29.797191887675506,43.21372854914197,26.98907956318253
2016 - Feb,32.294264339152114,41.02244389027431,26.683291770573565
2016 - Feb,31.169991068770468,38.40428699017565,30.425721941053887
2016 - Mar,33.37588290358268,37.920177006212235,28.703940090205087
2016 - Mar,38.45657781599312,32.351676698194325,29.191745485812554
2016 - Mar,42.548719908291936,30.58846006878105,26.862820022927014
2016 - Mar,47.58480825958702,27.193952802359885,25.221238938053098
2016 - Mar,46.86192468619247,27.719665271966527,25.418410041841007
2016 - Mar,48.275862068965516,27.914614121510674,23.809523809523807
2016 - Mar,54.76336816226183,28.047531243597625,17.189100594140545
2016 - Mar,50.19241341396372,36.915887850467286,12.891698735568994
2016 - Mar,48.75796178343949,37.675159235668794,13.566878980891719
2016 - Mar,37.38691352829792,37.97601514832738,24.63707132337471
2016 - Mar,32.83354510800508,34.45997458703939,32.70648030495553
2016 - Mar,28.434504792332266,32.26837060702875,39.29712460063898
2016 - Mar,31.85483870967742,35.08064516129033,33.064516129032256
2016 - Mar,31.923779691986425,31.81936831114591,36.25685199686765
2016 - Mar,34.129692832764505,31.5079118833385,34.36239528389699
2016 - Mar,31.274480265140102,33.986140403736066,34.73937933112383
2016 - Mar,27.15143428952635,31.487658438959304,41.36090727151434
2016 - Mar,32.322210987529495,32.861476238624874,34.81631277384564
2016 - Mar,27.027027027027028,39.45945945945946,33.513513513513516
2016 - Mar,32.44444444444444,28.444444444444443,39.111111111111114
2016 - Mar,38.86075949367089,35.654008438818565,25.485232067510548
2016 - Mar,40.790580319596295,41.42136248948696,17.788057190916735
2016 - Mar,38.91050583657588,39.61089494163424,21.47859922178988
2016 - Mar,34.74354174466492,39.61063272182703,25.64582553350805
2016 - Mar,44.42307692307692,35.57692307692308,20.0
2016 - Mar,37.142857142857146,33.87755102040816,28.97959183673469
